SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자의 예산은 2,300백만원입니다."
TEST_001,중소벤처기업부의 혁신창업사업화자금(융자) 사업목적은 기술력과 사업성이 우수하고 미래 성장가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출을 도모하는 것입니다.
TEST_002,"중소벤처기업부의 혁신창업사업화자금(융자) 사업근거는 중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하고 있습니다."
TEST_003,2010년에 신규 지원된 혁신창업사업화자금은 '기술개발(스카우팅)' 및 '기술이전(스카우팅)' 입니다.
TEST_004,미래기술육성자금 및 고성장촉진자금 사업에서 미래기술육성자금(융자)과 고성장촉진자금(융자)이 신규 지원되었습니다.
TEST_005,2015년 1월입니다.
TEST_006,창업기반지원과 신청 대상이 중복인 일자리창출촉진자금은 2023년 1월에 폐지되었습니다.
TEST_007,혁신창업사업화자금(융자) 사업을 시행하는 주체는 창업진흥원이 있습니다.
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다:
TEST_009,"출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접돌봄이 중요한 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급"
TEST_010,"2024년 부모급여(영아수당)의 확정된 예산은 2,888,694백만원입니다."
TEST_011,｢아동수당법｣(제10조)과 ｢보건복지부처 재정운용에 관한 특별법｣(제15조)의2을 근거로 추진하고 있습니다.
TEST_012,"영아수당 도입의 추진경위는 예비타당성조사 통과(’21.8.), 근거법 마련(’21.12.), 영아수당 지원사업 시행(’22.1~), ‘부모급여 도입’ 대통령 공약사항 및 국정과제[*]에 포함(’22.5.)으로 이루어졌습니다."
TEST_013,"공약내용에 따라 0개월～12개월아이키우는부모에게월100만원지원이 이루어지고 있으며, 부모급여 지원사업은 ’23년 1월부터 시행되고 있다."
TEST_014,"보건복지부의 부모급여(영아수당) 지원 사업은 보조금 관리에 관한 법률 시행령 제4조 제1항 (별표 1)에 근거하여 시행되며, 사업 수혜자는 0~11개월 아동의 부모입니다."
TEST_015,노인장기요양보험 사업 운영의 목적은 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것이다.
TEST_016,"노인장기요양보험 운영지원은 노인의 장기요양 비용을 부담자 부담률이 높은 기금 보험료로 지원하는 사업입니다. 이 사업은 노인의 장기요양 이용자에게 장기요양 급여를 지급하는 데 필요한 운영 활동을 담당하며, 국가 및 지방자치단체의 책무 등 다양한 행정적 또는 재정적 지원을 받습니다."
TEST_017,「국민기초생활 보장법」에 의한 의료급여수급권자를 제외한 기타* 의료급여수급권자입니다.
TEST_018,"노인장기요양보험법 제11조(장기요양보험가입자·피부양자의 자격취득·상실)에 관한 사항은 국민건강보험법 제5조, 제6조, 제8조부터 제11조까지, 제69조제1항부터 제3항까지, 제76조부터 제86조까지 및 제110조에 준용한다."
TEST_019,노인장기요양보험법은 '07년 4월에 제정되고 '08년 7월부터 제도가 시행되었습니다.
TEST_020,"노인장기요양보험 대상자 확대 (장기요양인정점수 완화)는 2013년 7월에 이루어졌으며, 3등급의 인정점수가 기존 55~75점에서 53점~75점으로 완화되었다."
TEST_021,"노인장기요양보험법 제4조, 제11조, 제35조의2, 제58조 및 같은 법 시행령제28조, 국민건강보험법 제76조가 법적 근거이다."
TEST_022,"22.10월에 요양보호사 1명당 시설수급자 인력배치기준이 개선되어, 2.5명에서 2.3명으로 감소하였다."
TEST_023,"에너지 바우처 제도는 하절기(7월~9월)와 동절기(11월~4월)에 해당하는 에너지 이용 비용을 지원하는 제도로, 2023년 예산은 바우처 사용(~'24.4월) 등 지원 완료 후 최종 정산 예정입니다."
TEST_024,사회보장위원회(총리 주재)에서 에너지바우처 사업 시행계획 확정(’15.8)
TEST_025,2024년 에너지바우처 사업의 사업시행주체는 산업통상자원부(에너지정보서비스단)입니다.
TEST_026,"하절기바우처의 2024년 예산 규모는 60,950백만원이며, 동절기바우처의 2024년 예산 규모는 600,521백만원입니다."
TEST_027,2023년 에너지바우처 사업 예산에서 사업운영비 중 에너지복지 홍보에 448백만원이 할당되었습니다.
TEST_028,2023년 에너지바우처 사업 예산에서 시스템 고도화에 705백만원이 할당되었습니다.
TEST_029,콜센터 운영 비용은 502.7백만원이 할당되었습니다.
TEST_030,2023년 에너지바우처 사업 예산에서 패널조사에 131.7백만원이 할당되었습니다.
TEST_031,전달체계 구축에 34.6백만원이 할당되었습니다.
TEST_032,50백만원입니다.
TEST_033,"에너지바우처 사업의 향후 기대효과는 에너지복지 사각지대를 해소하고, 에너지 이용 비용 부담을 완화하는 것이다."
TEST_034,예비타당성조사는 KDI(한국개발연구원 공공투자관리센터)가 수행했습니다.
TEST_035,21년 국정감사에서 에너지 바우처 사업에 대한 주요 지적사항은 '저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것' 이었습니다.
TEST_036,"21년 에너지바우처 사업에 대한 결산 지적사항은 ""저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것"" 이었습니다."
TEST_037,취약계층의 에너지 비용 부담 완화'를 위한 계획은 '하절기·동절기 에너지바우처 지원대상을 주거·교육급여 수급세대 중 더위·추위민감계층까지 영구적 확대한다'는 내용입니다.
TEST_038,행복주택출자 사업은 주택도시기금법 제9조제1항가목 및 공공주택특별법 제2조1호가목에 근거로 추진되고 있다.
TEST_039,국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 것이다.
TEST_040,"happyhousing 출자 사업의 주요 수혜자는 대학생・사회초년생・신혼부부 등 젊은층(80%)이며, 고령자 및 주거취약계층(20%)도 일부 수혜자로 지정되어 있습니다."
TEST_041,"happyhousing 출자(1440-408) 사업의 전체 사업비는 775,293백만원이며, 자치단체자본보조(330-03)는 210,951백만원, 일반출자금(460-01)은 564,342백만원입니다."
TEST_042,한국토지주택공사(LH)와 지자체(지방공사)가 사업시행주체입니다.
TEST_043,국고보조사업의 보조율은 「보조금법」과 함께 일부 개별 법령에 근거하여 운영되며 보조금법에 의해 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용하고 있음
TEST_044,"프랑스의 재정조정제도에서 최근 강조되는 형평교부금은 중앙정부의 재정적자로 인한 수직적 형평교부금의 역할을 강조하기 시작하였으며, 규모의 측면에서는 수직적 재정조정 위주로 이루어집니다."
TEST_045,"지방재정조정제도의 목적은 지방자치단체 간 재정력 격차의 시정을 통하여 지역 간 외부 효과의 내부화를 이루어내며, 중앙정부의 위임사무에 대한 비용 부담을 완화하는 것이다."
